p_c,nu,loss,delta_loss,log10_one_plus_delta_loss
0.08133333333333333,2.55,626.5248845446504,599.9674226122249,2.778850930300223
0.08133333333333333,2.597916666666667,665.0774993134665,638.5200373810411,2.805854156301286
0.08133333333333333,2.6458333333333335,704.5769400994162,678.0194781669908,2.831882232511887
0.08133333333333333,2.69375,744.8693637704023,718.3119018379768,2.856917246259072
0.08133333333333333,2.7416666666666667,785.8175324366208,759.2600705041954,2.8809621815757036
0.08133333333333333,2.7895833333333333,827.2989638482376,800.7415019158121,2.9040343653068965
0.08133333333333333,2.8375,869.2043064192463,842.6468444868209,2.9261606864506904
0.08133333333333333,2.8854166666666665,911.435909167454,884.8784472350286,2.9473741357509335
0.08133333333333333,2.933333333333333,953.9065610754324,927.3490991430069,2.9677113203154035
0.08133333333333333,2.98125,996.5383779623301,969.9809160299046,2.98721069422896
0.08133333333333333,3.029166666666667,1039.2618180089426,1012.7043560765171,3.005911312742886
0.08133333333333333,3.0770833333333334,1082.0148096805935,1055.457347748168,3.023851968012532
0.08133333333333333,3.125,1124.741978013165,1098.1845160807395,3.041070601967971
0.08133333333333333,3.1729166666666666,1167.3939571255632,1140.8364951931378,3.0576039197423936
0.08133333333333333,3.220833333333333,1209.926778445997,1183.3693165135714,3.0734871475846592
0.08133333333333333,3.26875,1252.3013255314045,1225.743863598979,3.0887538942365946
0.08133333333333333,3.316666666666667,1294.4828475538284,1267.925385621403,3.1034360857940015
0.08133333333333333,3.3645833333333335,1336.440524554286,1309.8830626218605,3.1175639521606127
0.08133333333333333,3.4125,1378.1470784485357,1351.5896165161103,3.1311660491346696
0.08133333333333333,3.4604166666666667,1419.5784245311315,1393.020962598706,3.1442693045170076
0.08133333333333333,3.5083333333333333,1460.713358882126,1434.1558969497005,3.1568990798209207
0.08133333333333333,3.55625,1501.5332776499044,1474.975815717479,3.1690792415070126
0.08133333333333333,3.6041666666666665,1542.0219246765362,1515.4644627441107,3.1808322373865625
0.08133333333333333,3.652083333333333,1582.1651643597074,1555.607702427282,3.192179175099897
0.08133333333333333,3.7,1621.9507770169907,1595.3933150845653,3.203139900502637
0.08133333333333333,3.747916666666667,1661.3682743415834,1634.810812409158,3.2137330744711234
0.08133333333333333,3.7958333333333334,1700.4087328206592,1673.8512708882338,3.223976247133823
0.08133333333333333,3.84375,1739.0646432336448,1712.5071813012194,3.2338859288960036
0.08133333333333333,3.8916666666666666,1777.3297745629072,1750.7723126304818,3.243477657885654
0.08133333333333333,3.939583333333333,1815.1990508379924,1788.641588905567,3.2527660636356943
0.08133333333333333,3.9875,1852.6684395997595,1826.110977667334,3.2617649269501183
0.08133333333333333,4.035416666666666,1889.7348508160733,1863.1773888836478,3.2704872359942585
0.08133333333333333,4.083333333333333,1926.3960452084827,1899.8385832760573,3.278945238712412
0.08133333333333333,4.13125,1962.6505510618815,1936.093089129456,3.287150491717471
0.08133333333333333,4.179166666666666,1998.4975886884401,1971.9401267560147,3.2951139058228827
0.08133333333333333,4.227083333333334,2033.9370018049115,2007.379539872486,3.3028457884015032
0.08133333333333333,4.275,2068.969195160007,2042.4117332275816,3.310355882762017
0.08133333333333333,4.322916666666667,2103.5950778173606,2077.0376158849353,3.3176534047338637
0.08133333333333333,4.370833333333334,2137.816011560646,2111.258549628221,3.3247470766479323
0.08133333333333333,4.41875,2171.6337639415988,2145.0763020091736,3.3316451588938865
0.08133333333333333,4.466666666666667,2205.0504655400105,2178.4930036075853,3.338355479226841
0.08133333333333333,4.514583333333333,2238.068571047596,2211.5111091151707,3.34488545998695
0.08133333333333333,4.5625,2270.6908238261194,2244.133361893694,3.3512421433858037
0.08133333333333333,4.610416666666667,2302.9202236242413,2276.362761691816,3.3574322150036418
0.08133333333333333,4.658333333333333,2334.7599971681666,2308.2025352357414,3.3634620256316725
0.08133333333333333,4.70625,2366.2135713686575,2339.6561094362323,3.3693376115842946
0.08133333333333333,4.754166666666666,2397.2845489113074,2370.727086978882,3.375064713596895
0.08133333333333333,4.802083333333333,2427.9766860191635,2401.4192240867383,3.3806487944162766
