d,p,batch,batch_shots,failure_count,failure_rate
7,0.035,56,1000,1,0.001
7,0.035,57,1000,1,0.001
7,0.035,58,1000,8,0.008
7,0.035,59,1000,5,0.005
7,0.035,60,1000,2,0.002
7,0.035,61,1000,1,0.001
7,0.035,62,1000,2,0.002
7,0.035,63,1000,5,0.005
7,0.035,64,1000,6,0.006
7,0.035,65,1000,1,0.001
7,0.035,66,1000,3,0.003
7,0.035,67,1000,4,0.004
7,0.035,68,1000,2,0.002
7,0.035,69,1000,5,0.005
7,0.035,70,1000,5,0.005
7,0.035,71,1000,4,0.004
7,0.035,72,1000,6,0.006
7,0.035,73,1000,0,0.0
7,0.035,74,1000,4,0.004
7,0.035,75,1000,1,0.001
7,0.035,76,1000,2,0.002
7,0.035,77,1000,1,0.001
7,0.035,78,1000,5,0.005
7,0.035,79,1000,3,0.003
7,0.035,80,1000,2,0.002
7,0.035,81,1000,2,0.002
7,0.035,82,1000,2,0.002
7,0.035,83,1000,3,0.003
7,0.035,84,1000,1,0.001
7,0.035,85,1000,3,0.003
7,0.035,86,1000,2,0.002
7,0.035,87,1000,2,0.002
7,0.035,88,1000,3,0.003
7,0.035,89,1000,3,0.003
7,0.035,90,1000,2,0.002
7,0.035,91,1000,3,0.003
7,0.035,92,1000,2,0.002
7,0.035,93,1000,4,0.004
7,0.035,94,1000,2,0.002
7,0.035,95,1000,3,0.003
7,0.035,96,1000,4,0.004
7,0.035,97,1000,3,0.003
7,0.035,98,1000,3,0.003
7,0.035,99,1000,2,0.002
7,0.035,100,1000,2,0.002
7,0.04,1,1000,2,0.002
7,0.04,2,1000,4,0.004
7,0.04,3,1000,6,0.006
7,0.04,4,1000,5,0.005
7,0.04,5,1000,7,0.007
7,0.04,6,1000,5,0.005
7,0.04,7,1000,2,0.002
7,0.04,8,1000,7,0.007
7,0.04,9,1000,3,0.003
7,0.04,10,1000,8,0.008
7,0.04,11,1000,6,0.006
7,0.04,12,1000,5,0.005
